Dividend Yield,PE Ratio,Price,Symbol,Sector,Market Cap,Dividend Per Share,Cash on hand,Name
0.0036,37.58,280.7000,AAPL,TECHNOLOGY,4165697536000,1.02,35934000000,Apple Inc
0.0071,34.22,null,MSFT,TECHNOLOGY,3574163571000,3.4,30242000000,Microsoft Corporation
